   25742     625       1       1       0       1    89587   88948   88950   89588   89894   88951   89895   90468
   25877     625       1       1       0       1    89673   88974   88952   89422   89883   88973   89884   90230
   25881     625       1       1       0       1    89667   89422   88952   88970   90231   89884   88971   89885
   25926     625       1       1       0       1    89667   88970   88968   89421   89885   88969   89886   90228
   25927     625       1       1       0       1    89421   88968   88966   89666   89886   88967   89887   90229
   25928     625       1       1       0       1    89666   88966   88964   89665   89887   88965   89888   90530
   25929     625       1       1       0       1    89665   88964   88962   89416   89888   88963   89889   90217
   25930     625       1       1       0       1    89416   88962   88960   89415   89889   88961   89890   90215
   25932     625       1       1       0       1    89415   88960   88958   89677   89890   88959   89891   90216
   25933     625       1       1       0       1    89646   89677   88958   88956   90520   89891   88957   89892
   25934     625       1       1       0       1    89619   89646   88956   88954   90495   89892   88955   89893
   25935     625       1       1       0       1    89619   88954   88948   89587   89893   88953   89894   90469
